ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesAmount,SalesOrderNumber
310,20191229,20200110,20200105,21768,3578.27,SO43697
346,20191229,20200110,20200105,28389,3399.99,SO43698
346,20191229,20200110,20200105,25863,3399.99,SO43699
336,20191229,20200110,20200105,14501,699.0982,SO43700
346,20191229,20200110,20200105,11003,3399.99,SO43701
311,20191230,20200111,20200106,27645,3578.27,SO43702
310,20191230,20200111,20200106,16624,3578.27,SO43703
351,20191230,20200111,20200106,11005,3374.99,SO43704
344,20191230,20200111,20200106,11011,3399.99,SO43705
312,20191231,20200112,20200107,27621,3578.27,SO43706
312,20191231,20200112,20200107,27616,3578.27,SO43707
330,20191231,20200112,20200107,20042,699.0982,SO43708
313,20191231,20200112,20200107,16351,3578.27,SO43709
314,20191231,20200112,20200107,16517,3578.27,SO43710
314,20200101,20200113,20200108,27606,3578.27,SO43711
311,20200101,20200113,20200108,13513,3578.27,SO43712
310,20200102,20200114,20200109,27601,3578.27,SO43713
311,20200102,20200114,20200109,13591,3578.27,SO43714
314,20200102,20200114,20200109,16483,3578.27,SO43715
311,20200102,20200114,20200109,16529,3578.27,SO43716
336,20200102,20200114,20200109,25249,699.0982,SO43717
311,20200103,20200115,20200110,27668,3578.27,SO43718
312,20200103,20200115,20200110,27612,3578.27,SO43719
311,20200103,20200115,20200110,13264,3578.27,SO43720
310,20200103,20200115,20200110,13590,3578.27,SO43721
312,20200104,20200116,20200111,13581,3578.27,SO43722
332,20200104,20200116,20200111,14520,699.0982,SO43723
311,20200104,20200116,20200111,16520,3578.27,SO43724
311,20200105,20200117,20200112,13258,3578.27,SO43725
332,20200105,20200117,20200112,14560,699.0982,SO43726
311,20200105,20200117,20200112,16607,3578.27,SO43727
313,20200106,20200118,20200113,27666,3578.27,SO43728
346,20200106,20200118,20200113,11238,3399.99,SO43729
346,20200106,20200118,20200113,25861,3399.99,SO43730
314,20200106,20200118,20200113,16629,3578.27,SO43731
350,20200106,20200118,20200113,11025,3374.99,SO43732
312,20200106,20200118,20200113,27577,3578.27,SO43733
312,20200107,20200119,20200114,27604,3578.27,SO43734
310,20200107,20200119,20200114,16522,3578.27,SO43735
346,20200107,20200119,20200114,11002,3399.99,SO43736
311,20200108,20200120,20200115,13261,3578.27,SO43737
312,20200108,20200120,20200115,11606,3578.27,SO43738
310,20200108,20200120,20200115,13563,3578.27,SO43739
312,20200108,20200120,20200115,16527,3578.27,SO43740
310,20200109,20200121,20200116,27671,3578.27,SO43741
314,20200109,20200121,20200116,13576,3578.27,SO43742
347,20200109,20200121,20200116,11007,3399.99,SO43743
313,20200109,20200121,20200116,16631,3578.27,SO43744
311,20200110,20200122,20200117,16514,3578.27,SO43745
312,20200110,20200122,20200117,16616,3578.27,SO43746
314,20200111,20200123,20200118,27623,3578.27,SO43747
313,20200111,20200123,20200118,27625,3578.27,SO43748
314,20200111,20200123,20200118,27636,3578.27,SO43749
311,20200111,20200123,20200118,11591,3578.27,SO43750
313,20200111,20200123,20200118,11592,3578.27,SO43751
311,20200111,20200123,20200118,13265,3578.27,SO43752
310,20200111,20200123,20200118,16482,3578.27,SO43753
312,20200112,20200124,20200119,27617,3578.27,SO43754
311,20200112,20200124,20200119,27670,3578.27,SO43755
332,20200112,20200124,20200119,19941,699.0982,SO43756
350,20200112,20200124,20200119,11017,3374.99,SO43757
310,20200113,20200125,20200120,27646,3578.27,SO43758
310,20200113,20200125,20200120,13257,3578.27,SO43759
314,20200113,20200125,20200120,16352,3578.27,SO43760
310,20200113,20200125,20200120,16493,3578.27,SO43761
314,20200114,20200126,20200121,27578,3578.27,SO43762
313,20200114,20200126,20200121,16525,3578.27,SO43763
310,20200114,20200126,20200121,16612,3578.27,SO43764
346,20200114,20200126,20200121,11010,3399.99,SO43765
313,20200115,20200127,20200122,16518,3578.27,SO43766
350,20200115,20200127,20200122,11001,3374.99,SO43767
312,20200116,20200128,20200123,27649,3578.27,SO43768
312,20200116,20200128,20200123,21659,3578.27,SO43769
312,20200116,20200128,20200123,27614,3578.27,SO43770
330,20200116,20200128,20200123,14559,699.0982,SO43771
312,20200116,20200128,20200123,16524,3578.27,SO43772
314,20200116,20200128,20200123,16526,3578.27,SO43773
313,20200116,20200128,20200123,16348,3578.27,SO43774
347,20200116,20200128,20200123,11027,3399.99,SO43775
314,20200117,20200129,20200124,13260,3578.27,SO43776
311,20200117,20200129,20200124,16515,3578.27,SO43777
345,20200117,20200129,20200124,11018,3399.99,SO43778
326,20200117,20200129,20200124,25252,699.0982,SO43779
311,20200118,20200130,20200125,11599,3578.27,SO43780
312,20200118,20200130,20200125,16495,3578.27,SO43781
312,20200118,20200130,20200125,16516,3578.27,SO43782
312,20200118,20200130,20200125,16620,3578.27,SO43783
310,20200119,20200131,20200126,27667,3578.27,SO43784
311,20200119,20200131,20200126,11601,3578.27,SO43785
311,20200119,20200131,20200126,11607,3578.27,SO43786
344,20200119,20200131,20200126,29385,3399.99,SO43787
351,20200119,20200131,20200126,11239,3374.99,SO43788
351,20200119,20200131,20200126,25865,3374.99,SO43789
344,20200119,20200131,20200126,25857,3399.99,SO43790
314,20200119,20200131,20200126,16484,3578.27,SO43791
312,20200119,20200131,20200126,16623,3578.27,SO43792
344,20200119,20200131,20200126,11000,3399.99,SO43793
347,20200119,20200131,20200126,11029,3399.99,SO43794
312,20200120,20200201,20200127,27615,3578.27,SO43795
342,20200120,20200201,20200127,17956,699.0982,SO43796
312,20200120,20200201,20200127,16345,3578.27,SO43797
310,20200120,20200201,20200127,16521,3578.27,SO43798
312,20200120,20200201,20200127,16636,3578.27,SO43799
311,20200121,20200202,20200128,21710,3578.27,SO43800
311,20200121,20200202,20200128,13583,3578.27,SO43801
312,20200121,20200202,20200128,11593,3578.27,SO43802
314,20200122,20200203,20200129,21741,3578.27,SO43803
310,20200122,20200203,20200129,13585,3578.27,SO43804
328,20200122,20200203,20200129,14510,699.0982,SO43805
312,20200122,20200203,20200129,16523,3578.27,SO43806
312,20200123,20200204,20200130,11611,3578.27,SO43807
313,20200123,20200204,20200130,13259,3578.27,SO43808
310,20200123,20200204,20200130,16350,3578.27,SO43809
345,20200123,20200204,20200130,11004,3399.99,SO43810
346,20200123,20200204,20200130,11026,3399.99,SO43811
312,20200124,20200205,20200131,27662,3578.27,SO43812
350,20200124,20200205,20200131,28390,3374.99,SO43813
350,20200124,20200205,20200131,25866,3374.99,SO43814
311,20200124,20200205,20200131,16494,3578.27,SO43815
314,20200124,20200205,20200131,16496,3578.27,SO43816
310,20200124,20200205,20200131,16519,3578.27,SO43817
312,20200124,20200205,20200131,16528,3578.27,SO43818
346,20200124,20200205,20200131,11006,3399.99,SO43819
312,20200125,20200206,20200201,27651,3578.27,SO43820
310,20200125,20200206,20200201,27663,3578.27,SO43821
313,20200125,20200206,20200201,27669,3578.27,SO43822
342,20200125,20200206,20200201,19942,699.0982,SO43823
338,20200125,20200206,20200201,14558,699.0982,SO43824
313,20200125,20200206,20200201,16349,3578.27,SO43825
348,20200125,20200206,20200201,11008,3374.99,SO43826
338,20200125,20200206,20200201,25250,699.0982,SO43827
310,20200126,20200207,20200202,27605,3578.27,SO43828
310,20200126,20200207,20200202,27611,3578.27,SO43829
311,20200126,20200207,20200202,16347,3578.27,SO43830
349,20200126,20200207,20200202,11028,3374.99,SO43831
310,20200126,20200207,20200202,13584,3578.27,SO43832
310,20200127,20200208,20200203,21727,3578.27,SO43833
348,20200127,20200208,20200203,28393,3374.99,SO43834
348,20200127,20200208,20200203,19802,3374.99,SO43835
324,20200127,20200208,20200203,26620,699.0982,SO43836
350,20200127,20200208,20200203,11009,3374.99,SO43837
313,20200128,20200209,20200204,27641,3578.27,SO43838
311,20200128,20200209,20200204,27673,3578.27,SO43839
326,20200128,20200209,20200204,17957,699.0982,SO43840
314,20200128,20200209,20200204,13406,3578.27,SO43841
312,20200128,20200209,20200204,16630,3578.27,SO43842
313,20200129,20200210,20200205,22041,3578.27,SO43918
314,20200129,20200210,20200205,12124,3578.27,SO43919
313,20200129,20200210,20200205,28066,3578.27,SO43920
313,20200129,20200210,20200205,16743,3578.27,SO43921
310,20200129,20200210,20200205,13546,3578.27,SO43922
312,20200130,20200211,20200206,28018,3578.27,SO43923
310,20200130,20200211,20200206,12132,3578.27,SO43924
314,20200130,20200211,20200206,16661,3578.27,SO43925
351,20200131,20200212,20200207,11055,3374.99,SO43926
314,20200131,20200212,20200207,16662,3578.27,SO43927
313,20200131,20200212,20200207,16740,3578.27,SO43928
322,20200131,20200212,20200207,25270,699.0982,SO43929
312,20200201,20200213,20200208,28038,3578.27,SO43930
313,20200201,20200213,20200208,13548,3578.27,SO43931
314,20200201,20200213,20200208,16741,3578.27,SO43932
347,20200201,20200213,20200208,11031,3399.99,SO43933
346,20200201,20200213,20200208,11034,3399.99,SO43934
334,20200202,20200214,20200209,20048,699.0982,SO43935
311,20200202,20200214,20200209,28065,3578.27,SO43936
312,20200202,20200214,20200209,17047,3578.27,SO43937
310,20200202,20200214,20200209,16686,3578.27,SO43938
312,20200202,20200214,20200209,16659,3578.27,SO43939
336,20200202,20200214,20200209,25294,699.0982,SO43940
314,20200203,20200215,20200210,13600,3578.27,SO43941
310,20200203,20200215,20200210,17051,3578.27,SO43942
